Harry Potter and the Philosopher's Stone,J. K. Rowling,book,"Its story follows Harry Potter's second year at Hogwarts School of Witchcraft and Wizardry as the Heir of Salazar Slytherin opens the Chamber of Secrets, unleashing a monster that petrifies the school's denizens.",1,https://hpread.scholastic.com/HP_Book2_Chapter_Excerpt.pdf,#harry,https://media.bloomsbury.com/rep/bj/9781408855904.jpeg,London2002
Harry Potter and the Prisoner of Azkaban,J. K. Rowling,book,"The book follows Harry Potter, a young wizard, in his third year at Hogwarts School of Witchcraft and Wizardry. Along with friends Ronald Weasley and Hermione Granger, Harry investigates Sirius Black, an escaped prisoner from Azkaban, the wizard prison, believed to be one of Lord Voldemort's old allies.",1,http://hpread.scholastic.com/HP_Book3_Chapter_Excerpt.pdf,#harry,https://images-na.ssl-images-amazon.com/images/I/91uix57X+jL.jpg,London2004
